show_id,title,StreamR,listed_in,date_added,release_year,country,Kids_TV,British,Cult,Crime,Docuseries,International,Kids,Reality,Romantic,Spanish,Stand_Up_Comedy,Action,Comedies,Dramas,Horror,Sci_Fi,TV_Shows
70234439,Transformers Prime,TV_Show,Kids' TV,9/8/2018,2013,United States,Kids' TV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80058654,Transformers: Robots in Disguise,TV_Show,Kids' TV,9/8/2018,2016,United States,Kids' TV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80163890,Apaches,TV_Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",9/8/2017,2016,Spain,Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80117902,Fire Chasers,TV_Show,"Docuseries, Science & Nature TV",9/8/2017,2017,United States,Docuseries,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80244601,Castle of Stars,TV_Show,"International TV Shows, Romantic TV Shows, TV Comedies",9/7/2018,2015,,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80190843,First and Last,TV_Show,Docuseries,9/7/2018,2018,,Docuseries,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80221550,Archibald's Next Big Thing,TV_Show,"Kids' TV, TV Comedies",9/6/2019,2019,,Kids' TV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80178151,The Spy,TV_Show,"International TV Shows, TV Dramas, TV Thrillers",9/6/2019,2019,France,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80113482,No Tomorrow,TV_Show,"Romantic TV Shows, TV Comedies, TV Dramas",9/5/2017,2016,United States,Romantic TV Shows,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80113641,Frequency,TV_Show,"Crime TV Shows, TV Dramas, TV Mysteries",9/4/2017,2016,United States,Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80996949,Adam Ruins Everything,TV_Show,TV Comedies,9/30/2018,2018,United States,TV Comedies,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80239337,Ben 10,TV_Show,Kids' TV,9/30/2018,2016,United States,Kids' TV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81011682,Christiane Amanpour: Sex & Love Around the World,TV_Show,Docuseries,9/30/2018,2018,United States,Docuseries,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80128317,The Eighties,TV_Show,Docuseries,9/30/2018,2016,United States,Docuseries,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81027384,The Nineties,TV_Show,Docuseries,9/30/2018,2017,United States,Docuseries,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80030186,The Seventies,TV_Show,Docuseries,9/30/2018,2015,United States,Docuseries,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80116921,We Bare Bears,TV_Show,"Kids' TV, TV Comedies",9/30/2018,2017,United States,Kids' TV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80181555,The Royal House of Windsor,TV_Show,"British TV Shows, Docuseries, International TV Shows",9/30/2017,2017,United Kingdom,British TV Shows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80184358,Lovesick,TV_Show,"International TV Shows, Romantic TV Shows, TV Dramas",9/3/2018,2014,,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80163293,Mak Cun,TV_Show,"International TV Shows, TV Comedies, TV Dramas",9/29/2017,2015,,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80199032,Paul Hollywood's Big Continental Road Trip,TV_Show,"British TV Shows, Docuseries, International TV Shows",9/29/2017,2017,United Kingdom,British TV Shows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80180449,Satu Hari,TV_Show,"International TV Shows, TV Dramas",9/29/2017,2014,,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80201933,Made in Mexico,TV_Show,"International TV Shows, Reality TV, Spanish-Language TV Shows",9/28/2018,2018,United States,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80225885,Bard of Blood,TV_Show,"International TV Shows, TV Action & Adventure, TV Dramas",9/27/2019,2019,India,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80218107,Dragons: Rescue Riders,TV_Show,"Kids' TV, TV Comedies",9/27/2019,2019,,Kids' TV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80220715,Skylines,TV_Show,"Crime TV Shows, International TV Shows, TV Dramas",9/27/2019,2019,,Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80241248,The Politician,TV_Show,"TV Comedies, TV Dramas, Teen TV Shows",9/27/2019,2019,United States,TV Comedies,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81025403,The Inmate,TV_Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",9/26/2019,2018,Mexico,Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80238106,Team Kaylie,TV_Show,"Kids' TV, TV Comedies",9/23/2019,2019,,Kids' TV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81004814,BONDING,TV_Show,"TV Comedies, TV Dramas",9/22/2019,2019,United States,TV Comedies,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
