Title,Year,Genre-Horror,Genre-Thriller,Genre-Sci-Fi,Genre-Mystery,Genre-Romance,Genre-Fantasy,Genre-Comdey,Genre-Drama,Genre-Crime,Genre-War,Genre-Western,Genre-Musical,Genre-Family,Genre-Adventure,Genre-Sport,Genre-History,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Directors1,Cast1,Plot1
Blood Slaughter Massacre ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,19-May-13,USA,NOT RATED,4.7,125 min,"Directed by Manny Serrano. With Matt W. Cody, Mike Roche, Byron M. Howard, Carmela Hayslett. 10 years ago, Officer James Fincher narrowly escaped being killed at the hands of a masked maniac. Now a Detective, a new string of murders has begun in Havenwood. Has the Ripper returned?",Matt W. Cody|Mike Roche|Byron M. Howard|Carmela Hayslett|Danielle Lenore|Melissa Roth|Bradley Creanzo|Loretta Vendetta|Samantha Quintana|Natasha Lee|Patrick Devaney|Christopher J. Murphy|Daniel Perez|David Garelik|Curtis Wilkerson,English,Directed by Manny Serrano, With Matt W," Cody, Mike Roche, Byron M"
Cheerleader Camp: To the Death ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,13-Oct-14,USA,NOT RATED,3.5,70 min,"Directed by Dustin Ferguson. With Jarad Allen, Jennifer Banko, Karrie Bauman, Danielle Brookshire. After a team of cheerleaders are burned to death in a gruesome sprinkler accident, the one who got away, Tanya returns to cheerleader camp. Joining her are an all-new squad of drop-dead gorgeous mean girls from competing high schools who chafe under the strict rules set by Coach Paddington (Jennifer Banko). With a lustful caretaker (Ari Lehman) lurking nearby, the team struggle to get along - but...",Jarad Allen|Jennifer Banko|Karrie Bauman|Danielle Brookshire|Colby Coash|Britany Dailey|Tana Elizabeth|Julia Farrell|Will Griffey|Ari Lehman|Breana Mitchell|Eric Moyer|Megan Shepherd|Jazmyne Van Houten,English,Directed by Dustin Ferguson," With Jarad Allen, Jennifer Banko, Karrie Bauman, Danielle Brookshire"," After a team of cheerleaders are burned to death in a gruesome sprinkler accident, the one who got away, Tanya returns to cheerleader camp"
The Eve ,2015, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,24-Apr-15,USA,NOT RATED,4,90 min,"Directed by Ritchie Steven Filippi. With Evan Bass, María DiDomenico, Al Thompson, Miranda Noelle Wilson. Friends head off to the remote island of Martha's Vineyard to celebrate New Year's Eve and reconnect. As tensions rise, an unforeseen presence halts celebrations and instead turns their holiday into a fight to live through to the new year.",Evan Bass|María DiDomenico|Al Thompson|Miranda Noelle Wilson|Rick Estabrook|Margaux Kelley|Jody Mullins,English,Directed by Ritchie Steven Filippi," With Evan Bass, María DiDomenico, Al Thompson, Miranda Noelle Wilson", Friends head off to the remote island of Martha's Vineyard to celebrate New Year's Eve and reconnect
"Daddy, I'm a Zombie ",2011, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE, Fantasy,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,10-Jan-12,Spain,PG,4.5,80 min,"Directed by Joan Espinach, Ricardo Ramón, MJ Lallo. With Paula Ribó, Núria Trifol, Ivan Labanda, Elisabeth Bergalló. The misadventures of a teenager girl in her new life as zombie.",Paula Ribó|Núria Trifol|Ivan Labanda|Elisabeth Bergalló|Luis Posada|Roser Batalla|Francesc Belda|Albert Mieza|Clara Schwarze|Manuel Osto|MJ Lallo|Tracey Charles|Heather Downey|Stéphanye Dussud|Doug Gochman,Spanish,"Directed by Joan Espinach, Ricardo Ramón, MJ Lallo"," With Paula Ribó, Núria Trifol, Ivan Labanda, Elisabeth Bergalló", The misadventures of a teenager girl in her new life as zombie
The Watermen ,2012, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,20-Jun-12,Brazil,R,3,94 min,"Directed by Matt L. Lockhart. With Jason Mewes, Richard Riehle, Floyd Abel, Blakely Bunnell. A clan of watermen capture a crew of sport fishermen who must then fight for their lives.",Jason Mewes|Richard Riehle|Floyd Abel|Blakely Bunnell|Scott Davis|Joy Glass|Luke Guldan|Tara Heston|Tyler Johnson|Matt L. Lockhart|Joe Monds|Ashley Myers|Gordon Price|A.J. Roberts,English,Directed by Matt L, Lockhart," With Jason Mewes, Richard Riehle, Floyd Abel, Blakely Bunnell"
The Incredible Truth ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,28-Apr-13,China,NOT RATED,3.7,91 min,"Directed by Tak-Sam Leong. With Christy Chung, Yan Liu, Denden, Ikki Funaki. An artist named Jiajia promised to show her girl friend Wei Ling around in Japan but eventually fails to show up for no reason. After Wei Ling goes and gets accommodated in a family-run hot spring hotel of Shimizu, Jiajia's Japanese boyfriend, she begins her endless weird experience as if she's haunted, and the hotel even sinks into a series of horrible homicides, in which the victims are all ...",Christy Chung|Yan Liu|Denden|Ikki Funaki|Tony Ho|Megumi Kagurazaka|Michiko Kodama|Jun Kunimura|Sam Lee|Danni Ma|Kei Nakata|Takayuki Noji|Haruna Yabuki,Mandarin|Japanese,Directed by Tak-Sam Leong," With Christy Chung, Yan Liu, Denden, Ikki Funaki", An artist named Jiajia promised to show her girl friend Wei Ling around in Japan but eventually fails to show up for no reason
Darr @ the Mall ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,21-Feb-14,India,NOT RATED,5,124 min,"Directed by Pawan Kripalani. With Jimmy Shergill, Nushrat Bharucha, Arif Zakaria, Vikram Raj Bhardwaj. During the inaugural party of one of the largest malls in Asia, a newly recruited security guard must work to stop a supernatural threat.",Jimmy Shergill|Nushrat Bharucha|Arif Zakaria|Vikram Raj Bhardwaj|Geet Sharma|Asif Basra|Nivedita Bhattacharya|Shradha Kaul|Pramod Pathak|Yoshika Verma|Neeraj Khetrapal|Neeraj Sood|Charlotte Desmond|Rahul Mishra|Vishal Jehtwa,Hindi,Directed by Pawan Kripalani," With Jimmy Shergill, Nushrat Bharucha, Arif Zakaria, Vikram Raj Bhardwaj"," During the inaugural party of one of the largest malls in Asia, a newly recruited security guard must work to stop a supernatural threat"
The Complex ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,18-May-13,Japan,NOT RATED,5.2,106 min,"Directed by Hideo Nakata. With Atsuko Maeda, Hiroki Narimiya, Ryô Iwamatsu, Masanobu Katsumura. Nursing student Asuka (Atsuko Maeda) has just moved into an apartment complex with her parents and younger brother. On the first night in her new room, she is awoken by a strange scratching sound coming from the apartment of her neighbor, a reclusive old man who has refused all attempts at communication. Concerned over his well being, Asuka enters his home only to find him dead from malnutrition....",Atsuko Maeda|Hiroki Narimiya|Ryô Iwamatsu|Masanobu Katsumura|Naomi Nishida|Megumi Satô|Tarô Suwa|Masaya Takahashi|Kanau Tanaka|Yûrei Yanagi,Japanese,Directed by Hideo Nakata," With Atsuko Maeda, Hiroki Narimiya, Ryô Iwamatsu, Masanobu Katsumura", Nursing student Asuka (Atsuko Maeda) has just moved into an apartment complex with her parents and younger brother
Queen of Blood ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,4-Apr-14,USA,NOT RATED,5.2,78 min,"Directed by Chris Alexander. With Carrie Gemmell, David Goodfellow, Shauna Henry, Kevin 'ohGr' Ogilvie. Vampire Irina is reborn as a ""vampiric"" plague, a force of nature whose destiny is to lay waste to a fever dream vision of the Wild West.",Carrie Gemmell|David Goodfellow|Shauna Henry|Kevin 'ohGr' Ogilvie,English,Directed by Chris Alexander," With Carrie Gemmell, David Goodfellow, Shauna Henry, Kevin 'ohGr' Ogilvie"," Vampire Irina is reborn as a ""vampiric"" plague, a force of nature whose destiny is to lay waste to a fever dream vision of the Wild West"
The Lurking ,2015, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,10-Dec-15,USA,NOT RATED,6,61 min,"Directed by Rob Michels. With Shayne White. Two wasteoids go deep into the serial killer infested woods of Wisconsin to party, meanwhile bodies start to pile up around them.",Shayne White,English,Directed by Rob Michels, With Shayne White," Two wasteoids go deep into the serial killer infested woods of Wisconsin to party, meanwhile bodies start to pile up around them"
Sleeper ,2012, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,26-Jun-12,USA,TV-MA,3.9,86 min,"Directed by Dru Brown. With Ty Hungerford, Bruce Hopkins, Scott Levy, Kym Jackson. Enigmatically silent, and driven by love, the man known as Resnik was imprisoned for butchering another man and kidnapping the young girl at the heart of his obsession, Kelly. For the safety of his fellow inmates, Resnik was only ever allowed to wake, eat and exercise alone, after dark, he learned to like it. Now having escaped during a midnight transfer, Resnik is headed back to Moonlight Bay, ...",Ty Hungerford|Bruce Hopkins|Scott Levy|Kym Jackson|Ray Sinclair|Lauren Orrell|Nicole Payten-Betts|Adam Fawns|Robert Reitano|Cory Robinson|Chris Hillier|Christian McCarty|Darko Tuscan|Nathan Corbett|Cameron Ambridge,English,Directed by Dru Brown," With Ty Hungerford, Bruce Hopkins, Scott Levy, Kym Jackson"," Enigmatically silent, and driven by love, the man known as Resnik was imprisoned for butchering another man and kidnapping the young girl at the heart of his obsession, Kelly"
Nightscape ,2012, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,26-Jun-15,Germany,NOT RATED,3,89 min,"Directed by David W. Edwards. With Brett Barron, Michael Biesanz, Dave Brown, Isaac Brown. In Nightscape, an emotionally guarded drifter, Kat (Galesh), crosses paths with a phantom car responsible for a wave of supernatural violence. The drifter must learn to trust again if she is to end a lifetime of bad luck and help her new found companions survive the growing chaos and carnage.",Brett Barron|Michael Biesanz|Dave Brown|Isaac Brown|Sailor Christopher|Morgan Elizabeth Cox|Tamara Duncan|David W. Edwards|Jesse Frola|Susan Funk|Emily Galash|Donovan James Gallardo|Greg Gilbert|Merrilin Gregoire|Raymond Gregoire,English,Directed by David W, Edwards," With Brett Barron, Michael Biesanz, Dave Brown, Isaac Brown"
Billy Club ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,1-Oct-13,USA,UNRATED,5.6,94 min,"Directed by Drew Rosas, Nick Sommer. With Marshall Caswell, Erin Hammond, Nick Sommer, Max Williamson. Fifteen years after a gruesome triple homicide devastated their Little League baseball team, four friends reunite to commemorate their dead coach and fallen teammates. A mystery unfolds as the secrets from their past return to haunt them and a vengeful killer, hidden by an antique umpire's mask, returns to even the score.",Marshall Caswell|Erin Hammond|Nick Sommer|Max Williamson|Mark Metcalf|Mathew Dunlop|Thaine H. Allison Jr.|Al Bardin|Peter Batchelder|Suziey Block|Trevor Burke|Bobby Ciraldo|Kelly Cunningham|Michael Denk|Peter Donalds,English,"Directed by Drew Rosas, Nick Sommer"," With Marshall Caswell, Erin Hammond, Nick Sommer, Max Williamson"," Fifteen years after a gruesome triple homicide devastated their Little League baseball team, four friends reunite to commemorate their dead coach and fallen teammates"
Kill That Bitch ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,4-Feb-14,USA,TV-MA,4.7,68 min,"Directed by Dustin Mills. With Bloodcountess Bathory, Jessica Cook, Josh Eal, Elysia S. Gipson. Meticulously, one-by-one, five beautiful women with no apparent connection between them are being targeted by a deranged masked murderer who won't stop until they all suffer by his blade.",Bloodcountess Bathory|Jessica Cook|Josh Eal|Elysia S. Gipson|Haley Madison|Mandi Monroe|Dave Parker|Erin R. Ryan|Brandon Salkil,English,Directed by Dustin Mills," With Bloodcountess Bathory, Jessica Cook, Josh Eal, Elysia S", Gipson
The Black Dahlia Haunting ,2012, Horror,NO GENRE,NO GENRE, Mystery,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,1-Jul-13,Canada,TV-14,5,80 min,"Directed by Brandon Slagle. With Devanny Pinn, Britt Griffith, Noah Dahl, Alexis Iacono. While investigating the murder of her father by her blind younger brother, a young woman disturbs the vengeful spirit of Elizabeth Short, known in legend as ""The Black Dahlia"".",Devanny Pinn|Britt Griffith|Noah Dahl|Alexis Iacono|Cleve Hall|Brandon Slagle|Jessica Cameron|Sarah Nicklin|Daniel Murawka|Tori Rachael|Patrick W. Henry|Gabrielle Benson|Holly Griffith,English,Directed by Brandon Slagle," With Devanny Pinn, Britt Griffith, Noah Dahl, Alexis Iacono"," While investigating the murder of her father by her blind younger brother, a young woman disturbs the vengeful spirit of Elizabeth Short, known in legend as ""The Black Dahlia"""
Harold's Going Stiff ,2011, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,7-Aug-12,UK,NOT RATED,5.7,77 min,"Directed by Keith Wright. With Stan Rowe, Sarah Spencer, Andy Pandini, Phil Gascoyne. Harold is suffering from a frightening new disease that is turning him into a zombie. After an experimental new treatment fails, Harold's condition deteriorates and he ends up on the run from a group of violent vigilantes who are out for blood.",Stan Rowe|Sarah Spencer|Andy Pandini|Phil Gascoyne|Lee Thompson|Richard Harrison|Liz Simmons|Michaela Anne Rowe|Roger Bingham|Molly Howe|Michael Etheridge|Richard Atkinson|Daniel Gosling|Jane Hardcastle|Alex Brock,English,Directed by Keith Wright," With Stan Rowe, Sarah Spencer, Andy Pandini, Phil Gascoyne", Harold is suffering from a frightening new disease that is turning him into a zombie
Abandoned in the Dark,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,8-Nov-14,USA,NOT RATED,5.8,83 min,"Directed by Mike Lordi. With Kane Hodder, Marcin Paluch, Ed Bergtold, Hillary Hamilton. Kane Hodder stars in this anthology film comprised of 4 short horror/suspense stories seamlessly connected to one another through gripping real life conflict and extreme tension.",Kane Hodder|Marcin Paluch|Ed Bergtold|Hillary Hamilton|Andrew Roth|Melia Morgan|Bill Weeden|Stuart Greene|Marci Hopkins|Sean Deblat|Michelle Cammarata|Aimee Theresa|Katie Fabel|Freddie Maas|Frank Lamendola,English,Directed by Mike Lordi," With Kane Hodder, Marcin Paluch, Ed Bergtold, Hillary Hamilton", Kane Hodder stars in this anthology film comprised of 4 short horror/suspense stories seamlessly connected to one another through gripping real life conflict and extreme tension
A Dark Place Inside ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,1-Feb-14,USA,TV-MA,4.1,80 min,"Directed by Mike O'Mahony. With Chris Dalbey, Kieran Boyle, Rob Dimension, Genoveva Rossi. To survive, Andy commits heinous acts of murder to find refuge from a world that is in essence mad, a world where we deny our true will, thoughts and desires. How many people like Andy commit heinous acts in their attempt to ""cope"" with an insane society? Andy has a very dark place inside.",Chris Dalbey|Kieran Boyle|Rob Dimension|Genoveva Rossi|Dakota Jade|Andrew Hall|James Costa|Lauren Ojeda|Nat Gennace|Erin Anthony|Jason Boyle|Anthony Edward Curry|Jennifer Deverin|Matt Garafalo|Cole Geissler,English,Directed by Mike O'Mahony," With Chris Dalbey, Kieran Boyle, Rob Dimension, Genoveva Rossi"," To survive, Andy commits heinous acts of murder to find refuge from a world that is in essence mad, a world where we deny our true will, thoughts and desires"
A Haunting at the Rectory ,2015, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,8-Jun-15,UK,NOT RATED,3.5,88 min,"Directed by Andrew Jones. With Lee Bane, Suzie Frances Garton, Tom Bonington, Sarah-Louise Tyler. A Reverend and his wife discover their new home has a deadly secret.",Lee Bane|Suzie Frances Garton|Tom Bonington|Sarah-Louise Tyler,English,Directed by Andrew Jones," With Lee Bane, Suzie Frances Garton, Tom Bonington, Sarah-Louise Tyler", A Reverend and his wife discover their new home has a deadly secret
Morgana ,2012, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,3-Aug-12,Mexico,NOT RATED,3.7,90 min,"Directed by Ramón Obón. With Siouzana Melikian, Lilia Aragón, Alejandra Adame, Luis Felipe Tovar. A remote lakeside village hides an old and terrifying secret. One hundred years after the suicide of a woman named Morgana, a newcomer is confronted with the terrifying reality that the lost soul is looking for new blood. This haunting thriller stars Siouzana Melikian, Lilia Aragon, Iran Castillo, Luis Felipe Tovar, Eugenio Becker.",Siouzana Melikian|Lilia Aragón|Alejandra Adame|Luis Felipe Tovar|Irán Castillo|Eugenio Becker|Alejandra Toussaint|David Ostrosky|Ana Julieta Récamier|Abraham Stavans|María Luisa Coronel|Mateo González Oses Obón,Spanish,Directed by Ramón Obón," With Siouzana Melikian, Lilia Aragón, Alejandra Adame, Luis Felipe Tovar", A remote lakeside village hides an old and terrifying secret
Attack of the Herbals ,2011, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,4-Sep-12,USA,TV-MA,3.6,81 min,"Directed by David Ryan Keith. With Calum Booth, Steve Worsley, Richard Currie, Liam Matheson. Follows two unlikely heroes who stumble upon a mysterious crate, washed ashore. The locals find that the contents make a rather addictive herbal tea that turns the villagers into crazy zombies.",Calum Booth|Steve Worsley|Richard Currie|Liam Matheson|Lee Hutcheon|Claire McCulloch|Margaret Bramwell|Jimmy Lynch|Alan Fraser|Lindsay Cromar|Dave Thomson|Mary Cox|Daniel Greavey|Dorothy Taylor|Mark Wood,English,Directed by David Ryan Keith," With Calum Booth, Steve Worsley, Richard Currie, Liam Matheson"," Follows two unlikely heroes who stumble upon a mysterious crate, washed ashore"
Sledge ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,2-Sep-14,USA,NOT RATED,4.6,75 min,"Directed by John B Sovie II, Kristian Hanson. With Dustin Bowman, Rachel Cornell, Tino Faygo, Kristian Hanson. Sledge hits you from the beginning with humor and originality. Opening with Assly's True American Horror television program, the action kicks off instantly with skull crushing deaths from the killer, Adam Lynch. Adam believes he is in a movie and video game that he has created in his head.",Dustin Bowman|Rachel Cornell|Tino Faygo|Kristian Hanson|Mary Hanson|Travis Hanson|Desiree Holmes|Russell Matoes|Troy Miller|Wendy Miller|Stephanie Tupper,English,"Directed by John B Sovie II, Kristian Hanson"," With Dustin Bowman, Rachel Cornell, Tino Faygo, Kristian Hanson", Sledge hits you from the beginning with humor and originality
Marianne ,2011, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,3-Jul-13,USA,NOT RATED,4.9,103 min,"Directed by Filip Tegstedt. With Thomas Hedengran, Peter Stormare, Tintin Anderzon, Sandra Larsson. After the death of his beloved wife a man begins to fall apart mentally, having dreadful nightmares and finding his family and career affected. As time goes on, he begins to rapidly slip away.",Thomas Hedengran|Peter Stormare|Tintin Anderzon|Sandra Larsson|Dylan M. Johansson|Viktoria Sätter|Helena Löwenmark|Gudrun Mickelsson|Patrik Andersson|Maria Bergsten|Peter Boija|Jonathan Bonin|Stella Edling|Kerstin Hansson|Tim Netzler,Swedish,Directed by Filip Tegstedt," With Thomas Hedengran, Peter Stormare, Tintin Anderzon, Sandra Larsson"," After the death of his beloved wife a man begins to fall apart mentally, having dreadful nightmares and finding his family and career affected"
Psychotic ,2012, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,3-Mar-15,USA,TV-14,3.9,80 min,"Directed by Johnny Johnson. With Jenna Verdicchio, Steve Hope Wynne, Kristina Dargelyte, Rosie Cochrane. A psychologist is trapped inside a mental institution where all the patients have escaped and are on the rampage.",Jenna Verdicchio|Steve Hope Wynne|Kristina Dargelyte|Rosie Cochrane|David Aldridge|Adam Lewis|Mark Carlisle|Daniel Godward|Tzvet Lazar|Jodyanne Richardson|Rodolfo Coloma|David Alexander|Libby Braidwood|Natalie Bueza|James Gannon,English,Directed by Johnny Johnson," With Jenna Verdicchio, Steve Hope Wynne, Kristina Dargelyte, Rosie Cochrane", A psychologist is trapped inside a mental institution where all the patients have escaped and are on the rampage
Headless ,2014, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,22-Aug-14,USA,NOT RATED,5.9,71 min,"Directed by Toby Lawrence. With Emily Jackson, Brecht Andersch, Brett Mann, Will Manning. After her twin sister is accused of witchcraft and beheaded by a fanatical religious cult, a young woman walks the razor sharp edge between myth and reality seeking the truth, hoping not to lose her head in the process.",Emily Jackson|Brecht Andersch|Brett Mann|Will Manning|Thomas Poole|John Mounier|Christopher Campbell|Kevin Molohan|Patrick Ford|Erin Lawrence|Zoe Raines|Jenna Nuesse|Vanessa Hernandez,English,Directed by Toby Lawrence," With Emily Jackson, Brecht Andersch, Brett Mann, Will Manning"," After her twin sister is accused of witchcraft and beheaded by a fanatical religious cult, a young woman walks the razor sharp edge between myth and reality seeking the truth, hoping not to lose her head in the process"
Like a Bat Outta Hell ,2013, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,27-May-15,Philippines,NOT RATED,4.2,92 min,"Directed by Danial Donai. With Vernon Wells, Rachael Murphy, Marco Dapper, Dan Balcaban. A young group of avid documentary film makers are sent to shoot in the vast extremes of the South Australian wilderness. They end up in a place called Nowhere Else. What transpires there is devastatingly, like nothing else on Earth.",Vernon Wells|Rachael Murphy|Marco Dapper|Dan Balcaban|William Wensley|Di Lesson|John Reynolds|Sue Broberg|Lovlee Carroll,English,Directed by Danial Donai," With Vernon Wells, Rachael Murphy, Marco Dapper, Dan Balcaban", A young group of avid documentary film makers are sent to shoot in the vast extremes of the South Australian wilderness
"Silent Night, Bloody Night 2: Revival ",2015, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,15-Mar-15,USA,NOT RATED,3.5,90 min,"Directed by Dustin Ferguson. With Julia Farrell, Luc Bernier, Jennifer Runyon, Pete Lipins. After a death in the family, siblings Angelica and James Zacherly travel to the small town of East Willard on Christmas Eve to pay their respects. They stay at a homely bed and breakfast where they learn the legend of Black Peter, Santa Claus' vengeful brother. But when they find the lost journal of Jeffrey Butler, they discover the town has its own sordid history - one more rooted in reality.",Julia Farrell|Luc Bernier|Jennifer Runyon|Pete Lipins|Jennii Caroline|Jeanne Kern|Rich Kern|Chad Haufschild|Jarad Allen|Breana Mitchell|Jeff Dylan Graham|Mike Crawford|Sarah Moshman|Kia Beason|Rikki Wallace,English,Directed by Dustin Ferguson," With Julia Farrell, Luc Bernier, Jennifer Runyon, Pete Lipins"," After a death in the family, siblings Angelica and James Zacherly travel to the small town of East Willard on Christmas Eve to pay their respects"
Ridge War Z ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE, War,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,5-Nov-13,USA,TV-MA,2.8,89 min,"Directed by Alek Gearhart. With Dominique Marsell, Travis O'Leary, Kyle Gordon, Dane O'Leary. The last surviving veterans of the worst battle of a zombie war recount their horrific memories to an author who is writing a book about their experiences.",Dominique Marsell|Travis O'Leary|Kyle Gordon|Dane O'Leary|Will Le Fevre|Manuel Eduardo Ramirez|Tyler Allen|Alek Gearhart|Andrew Jackson|Eoin Hartel,English,Directed by Alek Gearhart," With Dominique Marsell, Travis O'Leary, Kyle Gordon, Dane O'Leary", The last surviving veterans of the worst battle of a zombie war recount their horrific memories to an author who is writing a book about their experiences
Scarewaves ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,26-Sep-14,USA,TV-MA,5,82 min,"Directed by Henrique Couto. With Erin R. Ryan, Iabou Windimere, JoAnna Lloyd, Josh Miller. From the director of Babysitter Massacre and Haunted House on Sorority Row comes a shocking new film critics are calling ""fresh and original"" and ""what horror audiences want"" In his final night as a radio host, shock jock Amos Satan spins four spine-tingling tales of terror in this anthology of urban legends inspired by Creepshow and Tales from the Crypt. Scarewaves. Listen if you dare.",Erin R. Ryan|Iabou Windimere|JoAnna Lloyd|Josh Miller|Joni Durian|Tonjia Atomic|Haley Madison|Joe Kidd|Titus Young Wolverton|Tara Clark|Rachael Redolfi|Geoff Burkman|Duane West|Eric Widing|Christy Faulkner,English,Directed by Henrique Couto, With Erin R," Ryan, Iabou Windimere, JoAnna Lloyd, Josh Miller"
